employee_code,manager_code,senior_manager_code,lead_manager_code,company_code
E399,M193,SM97,LM68,C68
E9,M3,SM1,LM1,C1
E204,M96,SM48,LM35,C35
E99,M44,SM23,LM17,C17
E5,M2,SM1,LM1,C1
E324,M157,SM77,LM54,C54
E27,M11,SM8,LM5,C5
E135,M64,SM32,LM24,C24
E63,M27,SM16,LM12,C12
E118,M57,SM29,LM21,C21
E475,M230,SM115,LM78,C78
E489,M237,SM119,LM82,C82
E445,M217,SM109,LM75,C75
E469,M228,SM114,LM78,C78
E401,M194,SM97,LM68,C68
E416,M202,SM101,LM70,C70
E282,M135,SM65,LM46,C46
E293,M141,SM69,LM48,C48
E386,M188,SM94,LM66,C66
E495,M241,SM121,LM83,C83
E70,M30,SM17,LM13,C13
E74,M31,SM18,LM13,C13
E219,M103,SM50,LM36,C36
E517,M253,SM128,LM88,C88
E330,M160,SM78,LM55,C55
E153,M72,SM37,LM28,C28
E38,M15,SM10,LM7,C7
E526,M258,SM130,LM89,C89
E217,M102,SM50,LM36,C36
E50,M20,SM13,LM10,C10
E529,M260,SM131,LM90,C90
E364,M177,SM88,LM62,C62
E35,M14,SM9,LM6,C6
E429,M208,SM104,LM72,C72
E1,M1,SM1,LM1,C1
E152,M72,SM37,LM28,C28
E349,M169,SM84,LM59,C59
E200,M94,SM47,LM34,C34
E361,M176,SM88,LM62,C62
E518,M254,SM128,LM88,C88
E566,M280,SM142,LM99,C99
E203,M95,SM47,LM34,C34
E509,M248,SM125,LM86,C86
E382,M187,SM93,LM65,C65
E554,M273,SM138,LM95,C95
E215,M101,SM49,LM35,C35
E483,M235,SM118,LM81,C81
E151,M71,SM36,LM28,C28
E66,M28,SM16,LM12,C12
E545,M269,SM137,LM94,C94
E242,M115,SM55,LM39,C39
E60,M25,SM15,LM12,C12
E333,M162,SM80,LM56,C56
E14,M6,SM3,LM2,C2
E234,M110,SM54,LM38,C38
E175,M81,SM42,LM32,C32
E260,M123,SM59,LM42,C42
E453,M220,SM111,LM76,C76
E248,M117,SM56,LM40,C40
E112,M52,SM27,LM19,C19
E285,M136,SM66,LM46,C46
E514,M251,SM127,LM87,C87
E551,M272,SM138,LM95,C95
E72,M30,SM17,LM13,C13
E155,M73,SM37,LM28,C28
E502,M245,SM124,LM85,C85
E508,M248,SM125,LM86,C86
E404,M196,SM98,LM68,C68
E123,M59,SM30,LM22,C22
E90,M40,SM21,LM16,C16
E557,M276,SM140,LM97,C97
E435,M211,SM106,LM73,C73
E160,M75,SM38,LM29,C29
E271,M129,SM62,LM43,C43
E125,M60,SM30,LM22,C22
E265,M125,SM60,LM42,C42
E88,M38,SM20,LM15,C15
E212,M99,SM49,LM35,C35
E443,M216,SM109,LM75,C75
E55,M23,SM15,LM12,C12
E100,M44,SM23,LM17,C17
E129,M62,SM31,LM23,C23
E325,M157,SM77,LM54,C54
E459,M223,SM112,LM77,C77
E412,M200,SM101,LM70,C70
E542,M268,SM136,LM94,C94
E280,M134,SM65,LM46,C46
E427,M208,SM104,LM72,C72
E389,M189,SM94,LM66,C66
E319,M152,SM73,LM51,C51
E576,M283,SM144,LM100,C100
E61,M26,SM16,LM12,C12
E493,M240,SM120,LM83,C83
E326,M158,SM77,LM54,C54
E8,M3,SM1,LM1,C1
E484,M235,SM118,LM81,C81
E315,M151,SM73,LM51,C51
E206,M97,SM48,LM35,C35
E320,M153,SM74,LM52,C52
E42,M16,SM11,LM8,C8
E75,M31,SM18,LM13,C13
E20,M8,SM5,LM3,C3
E535,M264,SM135,LM93,C93
E10,M4,SM2,LM1,C1
E62,M26,SM16,LM12,C12
E470,M229,SM115,LM78,C78
E201,M95,SM47,LM34,C34
E283,M135,SM65,LM46,C46
E487,M236,SM118,LM81,C81
E246,M116,SM56,LM40,C40
E541,M267,SM136,LM94,C94
E48,M19,SM12,LM9,C9
E358,M174,SM87,LM62,C62
E30,M12,SM8,LM5,C5
E222,M104,SM51,LM36,C36
E58,M25,SM15,LM12,C12
E322,M155,SM75,LM53,C53
E503,M245,SM124,LM85,C85
E130,M62,SM31,LM23,C23
E286,M136,SM66,LM46,C46
E79,M33,SM18,LM13,C13
E335,M162,SM80,LM56,C56
E161,M76,SM38,LM29,C29
E428,M208,SM104,LM72,C72
E312,M150,SM72,LM51,C51
E261,M123,SM59,LM42,C42
E355,M172,SM86,LM61,C61
E296,M143,SM70,LM49,C49
E224,M105,SM51,LM36,C36
E39,M15,SM10,LM7,C7
E491,M238,SM119,LM82,C82
E140,M66,SM33,LM25,C25
E214,M101,SM49,LM35,C35
E485,M235,SM118,LM81,C81
E211,M99,SM49,LM35,C35
E33,M13,SM9,LM6,C6
E53,M23,SM15,LM12,C12
E231,M108,SM52,LM37,C37
E441,M215,SM108,LM74,C74
E544,M269,SM137,LM94,C94
E142,M67,SM34,LM26,C26
E47,M19,SM12,LM9,C9
E433,M210,SM105,LM72,C72
E378,M185,SM93,LM65,C65
E377,M184,SM92,LM65,C65
E213,M100,SM49,LM35,C35
E154,M72,SM37,LM28,C28
E568,M280,SM142,LM99,C99
E166,M78,SM40,LM30,C30
E379,M185,SM93,LM65,C65
E570,M281,SM143,LM100,C100
E561,M278,SM141,LM98,C98
E106,M49,SM25,LM18,C18
E347,M168,SM83,LM58,C58
E362,M176,SM88,LM62,C62
E91,M40,SM21,LM16,C16
E266,M126,SM61,LM43,C43
E313,M150,SM72,LM51,C51
E449,M219,SM110,LM76,C76
E205,M96,SM48,LM35,C35
E454,M220,SM111,LM76,C76
E499,M243,SM123,LM85,C85
E538,M266,SM136,LM94,C94
E52,M22,SM14,LM11,C11
E156,M73,SM37,LM28,C28
E228,M107,SM52,LM37,C37
E434,M211,SM106,LM73,C73
E337,M163,SM81,LM57,C57
E500,M244,SM123,LM85,C85
E578,M284,SM144,LM100,C100
E131,M63,SM32,LM24,C24
E116,M56,SM29,LM21,C21
E279,M134,SM65,LM46,C46
E402,M195,SM97,LM68,C68
E373,M182,SM90,LM63,C63
E98,M43,SM23,LM17,C17
E367,M178,SM89,LM63,C63
E425,M207,SM103,LM71,C71
E392,M190,SM94,LM66,C66
E158,M75,SM38,LM29,C29
E481,M234,SM118,LM81,C81
E115,M55,SM28,LM20,C20
E270,M128,SM61,LM43,C43
E111,M51,SM27,LM19,C19
E197,M91,SM46,LM34,C34
E177,M83,SM43,LM32,C32
E396,M192,SM96,LM67,C67
E405,M197,SM98,LM68,C68
E87,M37,SM20,LM15,C15
E573,M282,SM144,LM100,C100
E451,M219,SM110,LM76,C76
E304,M146,SM71,LM50,C50
E180,M84,SM43,LM32,C32
E305,M147,SM71,LM50,C50
E555,M274,SM139,LM96,C96
E57,M24,SM15,LM12,C12
E553,M273,SM138,LM95,C95
E548,M270,SM137,LM94,C94
E351,M169,SM84,LM59,C59
E468,M227,SM113,LM77,C77
E159,M75,SM38,LM29,C29
E107,M50,SM26,LM19,C19
E29,M12,SM8,LM5,C5
E323,M156,SM76,LM54,C54
E185,M86,SM44,LM33,C33
E352,M170,SM84,LM59,C59
E289,M137,SM67,LM47,C47
E157,M74,SM38,LM29,C29
E363,M176,SM88,LM62,C62
E13,M5,SM2,LM1,C1
E94,M42,SM22,LM17,C17
E168,M78,SM40,LM30,C30
E51,M21,SM13,LM10,C10
E465,M225,SM112,LM77,C77
E413,M200,SM101,LM70,C70
E26,M11,SM8,LM5,C5
E572,M282,SM144,LM100,C100
E165,M77,SM39,LM29,C29
E552,M272,SM138,LM95,C95
E462,M224,SM112,LM77,C77
E350,M169,SM84,LM59,C59
E80,M33,SM18,LM13,C13
E237,M112,SM54,LM38,C38
E506,M246,SM124,LM85,C85
E354,M171,SM85,LM60,C60
E241,M114,SM55,LM39,C39
E314,M151,SM73,LM51,C51
E179,M83,SM43,LM32,C32
E574,M283,SM144,LM100,C100
E218,M103,SM50,LM36,C36
E344,M167,SM83,LM58,C58
E226,M106,SM51,LM36,C36
E426,M207,SM103,LM71,C71
E309,M149,SM72,LM51,C51
E556,M275,SM139,LM96,C96
E410,M199,SM100,LM70,C70
E108,M50,SM26,LM19,C19
E126,M60,SM30,LM22,C22
E457,M222,SM111,LM76,C76
E49,M20,SM13,LM10,C10
E384,M188,SM94,LM66,C66
E338,M164,SM81,LM57,C57
E101,M45,SM24,LM18,C18
E21,M8,SM5,LM3,C3
E178,M83,SM43,LM32,C32
E64,M27,SM16,LM12,C12
E521,M256,SM129,LM89,C89
E83,M34,SM19,LM14,C14
E565,M279,SM142,LM99,C99
E414,M201,SM101,LM70,C70
E104,M47,SM24,LM18,C18
E191,M88,SM45,LM33,C33
E418,M203,SM102,LM71,C71
E473,M230,SM115,LM78,C78
E528,M260,SM131,LM90,C90
E409,M198,SM99,LM69,C69
E173,M80,SM41,LM31,C31
E532,M263,SM134,LM92,C92
E460,M223,SM112,LM77,C77
E84,M35,SM19,LM14,C14
E341,M165,SM82,LM58,C58
E276,M133,SM64,LM45,C45
E298,M144,SM70,LM49,C49
E240,M114,SM55,LM39,C39
E539,M267,SM136,LM94,C94
E372,M181,SM90,LM63,C63
E67,M29,SM17,LM13,C13
E17,M7,SM4,LM3,C3
E22,M9,SM6,LM4,C4
E308,M148,SM72,LM51,C51
E132,M63,SM32,LM24,C24
E221,M104,SM51,LM36,C36
E563,M279,SM142,LM99,C99
E128,M61,SM30,LM22,C22
E81,M34,SM19,LM14,C14
E148,M69,SM36,LM28,C28
E122,M58,SM29,LM21,C21
E56,M24,SM15,LM12,C12
E387,M189,SM94,LM66,C66
E202,M95,SM47,LM34,C34
E524,M257,SM129,LM89,C89
E398,M193,SM97,LM68,C68
E232,M109,SM53,LM38,C38
E306,M147,SM71,LM50,C50
E547,M270,SM137,LM94,C94
E390,M190,SM94,LM66,C66
E243,M115,SM55,LM39,C39
E533,M263,SM134,LM92,C92
E247,M117,SM56,LM40,C40
E187,M86,SM44,LM33,C33
E515,M252,SM127,LM87,C87
E254,M120,SM58,LM41,C41
E238,M113,SM55,LM39,C39
E391,M190,SM94,LM66,C66
E567,M280,SM142,LM99,C99
E397,M192,SM96,LM67,C67
E190,M88,SM45,LM33,C33
E575,M283,SM144,LM100,C100
E181,M84,SM43,LM32,C32
E523,M256,SM129,LM89,C89
E440,M214,SM107,LM74,C74
E174,M81,SM42,LM32,C32
E504,M246,SM124,LM85,C85
E284,M135,SM65,LM46,C46
E359,M175,SM87,LM62,C62
E290,M138,SM67,LM47,C47
E6,M2,SM1,LM1,C1
E96,M43,SM23,LM17,C17
E369,M180,SM89,LM63,C63
E69,M29,SM17,LM13,C13
E255,M120,SM58,LM41,C41
E78,M33,SM18,LM13,C13
E199,M93,SM47,LM34,C34
E220,M103,SM50,LM36,C36
E210,M98,SM48,LM35,C35
E478,M233,SM117,LM80,C80
E192,M89,SM45,LM33,C33
E421,M205,SM103,LM71,C71
E167,M78,SM40,LM30,C30
E537,M266,SM136,LM94,C94
E216,M102,SM50,LM36,C36
E11,M4,SM2,LM1,C1
E23,M10,SM7,LM5,C5
E297,M143,SM70,LM49,C49
E194,M90,SM46,LM34,C34
E259,M123,SM59,LM42,C42
E253,M119,SM57,LM41,C41
E163,M76,SM38,LM29,C29
E525,M257,SM129,LM89,C89
E368,M179,SM89,LM63,C63
E336,M163,SM81,LM57,C57
E488,M236,SM118,LM81,C81
E408,M198,SM99,LM69,C69
E472,M229,SM115,LM78,C78
E257,M121,SM58,LM41,C41
E138,M65,SM33,LM25,C25
E467,M226,SM113,LM77,C77
E114,M54,SM28,LM20,C20
E170,M79,SM40,LM30,C30
E120,M58,SM29,LM21,C21
E134,M64,SM32,LM24,C24
E471,M229,SM115,LM78,C78
E292,M140,SM69,LM48,C48
E348,M168,SM83,LM58,C58
E143,M67,SM34,LM26,C26
E93,M41,SM21,LM16,C16
E236,M112,SM54,LM38,C38
E245,M116,SM56,LM40,C40
E448,M218,SM110,LM76,C76
E36,M14,SM9,LM6,C6
E446,M217,SM109,LM75,C75
E334,M162,SM80,LM56,C56
E345,M167,SM83,LM58,C58
E375,M183,SM91,LM64,C64
E505,M246,SM124,LM85,C85
E18,M7,SM4,LM3,C3
E162,M76,SM38,LM29,C29
E272,M130,SM63,LM44,C44
E490,M237,SM119,LM82,C82
E477,M232,SM116,LM79,C79
E262,M124,SM59,LM42,C42
E186,M86,SM44,LM33,C33
E103,M46,SM24,LM18,C18
E193,M89,SM45,LM33,C33
E82,M34,SM19,LM14,C14
E24,M10,SM7,LM5,C5
E388,M189,SM94,LM66,C66
E12,M4,SM2,LM1,C1
E299,M144,SM70,LM49,C49
E4,M2,SM1,LM1,C1
E171,M80,SM41,LM31,C31
E209,M98,SM48,LM35,C35
E431,M209,SM105,LM72,C72
E393,M191,SM95,LM66,C66
E188,M87,SM44,LM33,C33
E182,M85,SM44,LM33,C33
E406,M197,SM98,LM68,C68
E403,M196,SM98,LM68,C68
E513,M250,SM126,LM87,C87
E102,M45,SM24,LM18,C18
E105,M48,SM25,LM18,C18
E71,M30,SM17,LM13,C13
E522,M256,SM129,LM89,C89
E3,M1,SM1,LM1,C1
E76,M32,SM18,LM13,C13
E281,M134,SM65,LM46,C46
E127,M60,SM30,LM22,C22
E417,M203,SM102,LM71,C71
E34,M13,SM9,LM6,C6
E310,M149,SM72,LM51,C51
E169,M79,SM40,LM30,C30
E311,M150,SM72,LM51,C51
E287,M136,SM66,LM46,C46
E268,M127,SM61,LM43,C43
E291,M139,SM68,LM47,C47
E223,M105,SM51,LM36,C36
E497,M242,SM122,LM84,C84
E144,M67,SM34,LM26,C26
E464,M224,SM112,LM77,C77
E466,M225,SM112,LM77,C77
E295,M143,SM70,LM49,C49
E327,M158,SM77,LM54,C54
E519,M254,SM128,LM88,C88
E318,M152,SM73,LM51,C51
E492,M239,SM120,LM83,C83
E546,M269,SM137,LM94,C94
E550,M271,SM138,LM95,C95
E439,M214,SM107,LM74,C74
E438,M213,SM107,LM74,C74
E562,M278,SM141,LM98,C98
E496,M242,SM122,LM84,C84
E329,M159,SM77,LM54,C54
E303,M146,SM71,LM50,C50
E452,M220,SM111,LM76,C76
E41,M16,SM11,LM8,C8
E73,M31,SM18,LM13,C13
E437,M212,SM107,LM74,C74
E31,M12,SM8,LM5,C5
E149,M70,SM36,LM28,C28
E520,M255,SM129,LM89,C89
E376,M184,SM92,LM65,C65
E15,M6,SM3,LM2,C2
E137,M65,SM33,LM25,C25
E424,M206,SM103,LM71,C71
E357,M173,SM87,LM62,C62
E198,M92,SM46,LM34,C34
E447,M218,SM110,LM76,C76
E147,M68,SM35,LM27,C27
E374,M183,SM91,LM64,C64
E365,M177,SM88,LM62,C62
